module,type,title,topic,essential_question,standards_summary,lessons,lesson_titles,build_status,canvas_module_id,canvas_url,content_json,activity_types,grading_profile,teacher_graded,textbook_pages,selected_interactives,video_plan,youtube_links,stf_title,stf_format,module_quiz,paper_packet_readiness,paper_packet_sources,paper_packet_activity_conversion,paper_packet_notes,savvas_links_total,savvas_links_linked,savvas_links_remaining,next_action,notes
1,standard,Industrialization & Immigration in the North,Society and Culture Before the Civil War (1820-1860),"How did industrialization change work, cities, transportation, and immigration in the North before the Civil War?","HSS: 8.6.1, 8.6.2, 8.6.3, 8.10.2, 8.12.1, 8.12.5, 8.12.6 | CCSS ELA: RH.1, RH.2, RH.3, RH.4, RH.7 | ELD: Part I A.3, Part I B.6.b, Part I B.7",T5.L1; T5.L2,T5.L1: The Industrial Revolution (p. 319-331); T5.L2: Industrialization and Immigration (p. 332-340),built,22372,https://altus.instructure.com/courses/3769/modules#module_22372,course_planning/content/8-2/module-01.json,eText reading | video check | 3-D Model | Interactive Timeline | Interactive Gallery | check for understanding | stranger than fiction (categorization) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T5.L1 pp. 319-331 | T5.L2 pp. 332-340,3-D Model: Early Textile Mill | Interactive Timeline: New Inventions Improve Life | Interactive Gallery: The Steam Locomotive,Industrial Revolution in America | Industrialization and Immigration - Nutshelled Early American History,https://www.youtube.com/watch?v=USAtD9uGBy4 | https://www.youtube.com/watch?v=2RT4l4aFkig,The Clock That Trained America to Work,categorization,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T5.L1 pp. 319-331 | Textbook T5.L2 pp. 332-340 | Savvas Lesson 1 eText: The Industrial Revolution | Savvas Lesson 2 eText: Industrialization and Immigration | Savvas 3-D Model: Early Textile Mill | Savvas Interactive Timeline: New Inventions Improve Life | Savvas Interactive Gallery: The Steam Locomotive | Savvas printable quiz docs downloaded to .savvas/module-01/ | Video: https://www.youtube.com/watch?v=USAtD9uGBy4 | Video: https://www.youtube.com/watch?v=2RT4l4aFkig | STF image: assets/module-01-clock-that-trained-america.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67437/preview,"Early Textile Mill: use a diagram or image of a mill and ask students to label where workers, machines, power, and raw materials fit. Inventions timeline: convert to a sequence/matching worksheet. Steam Locomotive gallery: print a locomotive image and ask short questions about speed, trade, and city connections.",This is the first 8-2 module and should be used as the style/spacing test before building the rest of the course.,5,5,0,Built; review only if content changes.,
2,standard,King Cotton & Life in the South,Society and Culture Before the Civil War (1820-1860),"How did cotton, slavery, and agriculture shape life and society in the South before the Civil War?","HSS: 8.7.1, 8.7.2, 8.7.3, 8.9.6, 8.10.1, 8.10.2 | CCSS ELA: RH.1, RH.2, RH.3, RH.4, RH.7 | ELD: Part I A.3, Part I B.6.b, Part I B.7",T5.L3,T5.L3: King Cotton and Life in the South (p. 341-352),built,22373,https://altus.instructure.com/courses/3769/modules#module_22373,course_planning/content/8-2/module-02.json,eText reading | video check | 3-D Model | Interactive Chart | check for understanding | stranger than fiction (categorization) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T5.L3 pp. 341-352,3-D Model: The Cotton Gin | Interactive Chart: Different Ways of Life in the South | Interactive Chart: Lives of Free and Enslaved African Americans,The Cotton Gin - The Industrial Revolution - Slavery - History Simplified and Explained,https://www.youtube.com/watch?v=mgadXa14REo,The Machine That Made Slavery Grow,categorization,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T5.L3 pp. 341-352 | Savvas Lesson 3 eText: King Cotton and Life in the South | Savvas 3-D Model: The Cotton Gin | Savvas Interactive Chart: Different Ways of Life in the South | Savvas Interactive Chart: Lives of Free and Enslaved African Americans | Savvas printable quiz doc downloaded to .savvas/module-02/ | Video: https://www.youtube.com/watch?v=mgadXa14REo | STF image: assets/module-02-machine-that-made-slavery-grow.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67438/preview,Cotton gin model: use a labeled diagram and have students explain input/process/output and consequence. Southern life chart: convert into a comparison chart. Free and enslaved African Americans chart: use a careful rights/limits comparison worksheet.,Built quickly after Module 1 approval. Preview as a human quality check before batch-building Modules 3+.,4,4,0,Built; review only if content changes.,
3,standard,Abolitionism,Society and Culture Before the Civil War (1820-1860),How did abolitionists challenge slavery and help turn moral opposition into a national movement?,"HSS: 8.7.2, 8.9.1, 8.9.2, 8.10.2 | CCSS ELA: RH.1, RH.2, RH.3, RH.4, RH.7 | ELD: Part I A.3, Part I B.6.b, Part I B.7",T5.L4,T5.L4: Abolitionism (p. 353-361),built,22374,https://altus.instructure.com/courses/3769/modules#module_22374,course_planning/content/8-2/module-03.json,eText reading | video check | Interactive Chart | Interactive Map | check for understanding | stranger than fiction (ordering) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T5.L4 pp. 353-361,Interactive Chart: Opposing Views on Slavery | Interactive Map: The Underground Railroad,U.S. History | Abolitionist Movement,https://www.youtube.com/watch?v=dYAtravaOlc,The Escape That Hid in Plain Sight,ordering,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T5.L4 pp. 353-361 | Savvas Lesson 4 eText: Abolitionism | Savvas Interactive Chart: Opposing Views on Slavery | Savvas Interactive Map: The Underground Railroad | Video: https://www.youtube.com/watch?v=dYAtravaOlc | STF video: https://www.youtube.com/watch?v=n7IYSdo6fMk | STF image: assets/module-03-ellen-william-craft-escape.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67475/preview | Fact checks: National Park Service and Smithsonian pages on Ellen and William Craft,"Opposing Views chart: convert into a two-column comparison of abolitionist and proslavery claims. Underground Railroad map: print a route map and ask students to identify movement, risk, and why geography/laws mattered.",Printable quiz was not harvested live in this build; backfill later if exact textbook quiz matching is required.,3,3,0,Built; review only if content changes.,
4,standard,"Reform, Women's Rights & Culture",Society and Culture Before the Civil War (1820-1860),"How did reform movements, women's rights activists, artists, and writers challenge Americans to imagine a different society before the Civil War?","HSS: 8.6.4, 8.6.5, 8.6.6, 8.9.1, 8.9.2, 8.12.5 | CCSS ELA: RH.1, RH.2, RH.3, RH.4, RH.6, RH.7 | ELD: Part I A.3, Part I B.6.b, Part I B.7",T5.L5; T5.L6,T5.L5: Reform and Women's Rights (p. 362-374); T5.L6: Arts and Literature (p. 375-381),built,22375,https://altus.instructure.com/courses/3769/modules#module_22375,course_planning/content/8-2/module-04.json,eText reading | video check | Interactive Gallery | Interactive Timeline | Interactive Primary Source | Interactive Map | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T5.L5 pp. 362-374 | T5.L6 pp. 375-381,Interactive Gallery: Changes in American Schools | Interactive Timeline: The Early Women's Rights Movement | Interactive Primary Source: Declaration of Sentiments and Resolutions | Interactive Map: Early American Music and Literature,What Happened at the Seneca Falls Convention? | In The Galleries: The Hudson River School Movement,https://www.youtube.com/watch?v=TcYhuG1y3bc | https://www.youtube.com/watch?v=tHzITI2Gl-k,The Pants That Made America Panic,choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,"Textbook T5.L5 pp. 362-374 | Textbook T5.L6 pp. 375-381 | Savvas Lesson 5 eText: Reform and Women's Rights | Savvas Lesson 6 eText: Arts and Literature | Savvas Interactive Gallery: Changes in American Schools | Savvas Interactive Timeline: The Early Women's Rights Movement | Savvas Interactive Primary Source: Declaration of Sentiments and Resolutions | Savvas Interactive Map: Early American Music and Literature | Video: https://www.youtube.com/watch?v=TcYhuG1y3bc | Video: https://www.youtube.com/watch?v=tHzITI2Gl-k | STF video: https://www.youtube.com/watch?v=dRIYxCYDxGg | STF image: assets/module-04-pants-that-made-america-panic.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67495/preview | Fact checks: National Women's History Museum, National Park Service, Library of Congress, and Metropolitan Museum of Art pages on Amelia Bloomer, Seneca Falls, and the Hudson River School",Changes in American Schools gallery: print two or three school images/captions and ask students what changed. Early Women's Rights timeline: convert to an ordering or cause/effect timeline. Declaration of Sentiments: use a short excerpt with two sourcing questions and one rights-claim question. Early American Music and Literature map: print/map regional cultural examples and ask students to connect place to cultural identity.,Printable quizzes were not harvested live in this build; backfill later if exact textbook quiz matching is required. Standards are inferred and should be verified during paper packet conversion.,6,6,0,Built; review only if content changes.,
5,standard,The Road to War: Compromises & Tensions (+ DBQ: Lincoln & Douglas),Sectionalism and Civil War (1820-1865),Why did compromises over slavery fail to stop sectional conflict from pushing the United States toward civil war?,"HSS: 8.9.4, 8.9.5, 8.9.6, 8.10.1, 8.10.2 | CCSS ELA: RH.1, RH.2, RH.3, RH.6, RH.8, W.8.1, W.8.9 | ELD: Part I A.3, Part I B.6.b, Part I B.7",T6.L1; T6.L2,T6.L1: Conflicts and Compromises (p. 389-398); T6.L2: Growing Tensions (p. 399-410),built,22376,https://altus.instructure.com/courses/3769/modules#module_22376,course_planning/content/8-2/module-05.json,eText reading | video check | Interactive Cartoon | Interactive Gallery | DBQ teacher-graded essay quiz | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | 5.3.3 | DBQ: Lincoln & Douglas teacher-graded (25 pts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",yes - includes teacher-graded DBQ/writing assignment,T6.L1 pp. 389-398 | T6.L2 pp. 399-410,Interactive Cartoon: The Fugitive Slave Act | Interactive Gallery: The Effects of the Kansas-Nebraska Act,Sound Smart: Compromise of 1850 | Sound Smart: The Kansas-Nebraska Act of 1854,https://www.youtube.com/watch?v=j_Bra5yBh6M | https://www.youtube.com/watch?v=QYP854GAPAU,The Law That Tried to Turn Everyone Into a Slave Catcher,choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked; DBQ is paper-ready after Canvas insert,Textbook T6.L1 pp. 389-398 | Textbook T6.L2 pp. 399-410 | Savvas Lesson 1 eText: Conflicts and Compromises | Savvas Lesson 2 eText: Growing Tensions | Savvas Interactive Cartoon: The Fugitive Slave Act | Savvas Interactive Gallery: The Effects of the Kansas-Nebraska Act | Video: https://www.youtube.com/watch?v=j_Bra5yBh6M | Video: https://www.youtube.com/watch?v=QYP854GAPAU | STF video: https://www.youtube.com/watch?v=JkHK8qDrTTM | STF image: assets/module-05-law-that-tried-to-turn-everyone-into-a-slave-catcher.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67502/preview | DBQ source set: Lincoln House Divided speech and Lincoln-Douglas debate excerpts | DBQ banner: assets/dbq-investigation-banner.png,"Fugitive Slave Act cartoon: print the cartoon/image and ask students to identify point of view, target, and historical criticism. Kansas-Nebraska gallery: convert to a cause/effect sequence. DBQ: use the embedded primary-source excerpts, three document questions, and one paragraph prompt as the main paper writing task.",Printable quizzes were not harvested live in this build; backfill later if exact textbook quiz matching is required. Standards are inferred and should be verified during paper packet conversion.,4,4,0,Built; review only if content changes.,
6,standard,The Civil War Begins,Sectionalism and Civil War (1820-1865),"Why did the Civil War begin, and how did each side's resources, leaders, strategies, and early battles shape the first years of the war?","HSS: 8.10.1, 8.10.2, 8.10.3, 8.10.4 | CCSS ELA: RH.1, RH.2, RH.3, RH.7 | ELD: Part I A.3, Part I B.6.b, Part I B.7",T6.L3; T6.L4,T6.L3: Division and the Outbreak of War (p. 411-422); T6.L4: The Course of the War (p. 423-429),built,22379,https://altus.instructure.com/courses/3769/modules#module_22379,course_planning/content/8-2/module-06.json,eText reading | video check | Interactive Chart | Interactive Map | Interactive Timeline | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T6.L3 pp. 411-422 | T6.L4 pp. 423-429,"Interactive Chart: Resources in the North and the South, 1860 | Interactive Chart: Abraham Lincoln and Jefferson Davis | Interactive Map: The Union's Strategies to Win the Civil War | Interactive Timeline: Early Battles of the Civil War",Where the Civil War Began | Fort Sumter | Anaconda Plan Explained: The Union's Civil War Strategy to Squeeze the South,https://www.youtube.com/watch?v=1unxs4fpNHg | https://www.youtube.com/watch?v=QJbPPvTN-vQ,The Battle Where Nobody Died Until the Victory Salute,choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked; paper lesson not yet drafted,"Textbook T6.L3 pp. 411-422 | Textbook T6.L4 pp. 423-429 | Savvas Lesson 3 eText: Division and the Outbreak of War | Savvas Lesson 4 eText: The Course of War | Savvas Interactive Chart: Resources in the North and the South, 1860 | Savvas Interactive Chart: Abraham Lincoln and Jefferson Davis | Savvas Interactive Map: The Union's Strategies to Win the Civil War | Savvas Interactive Timeline: Early Battles of the Civil War | Video: https://www.youtube.com/watch?v=1unxs4fpNHg | Video: https://www.youtube.com/watch?v=QJbPPvTN-vQ | STF video: https://www.youtube.com/watch?v=xsbEmWkit9Y | STF image: assets/module-06-battle-where-nobody-died-until-salute.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67519/preview","Resources chart and Lincoln/Davis chart: convert to comparison tables. Union strategy map: print map and ask students to identify blockade, rivers, and strategic goals. Early Battles timeline: convert to sequencing or cause/effect questions. STF: short Fort Sumter casualty sidebar with case-file questions.",Printable quizzes were not harvested live in this build; backfill later if exact textbook quiz matching is required.,6,6,0,Built; review only if content changes.,
7,standard,Emancipation & Life in Wartime,Sectionalism and Civil War (1820-1865),"How did emancipation, African American service, and wartime hardship change the meaning and experience of the Civil War?","HSS: 8.10.4, 8.10.5, 8.11.1 | CCSS ELA: RH.1, RH.2, RH.3, RH.6, RH.7 | ELD: Part I A.3, Part I B.6.b, Part I B.7",T6.L5,T6.L5: Emancipation and Life in Wartime (p. 430-442),built,22380,https://altus.instructure.com/courses/3769/modules#module_22380,course_planning/content/8-2/module-07.json,eText reading | video check | Interactive Gallery | Interactive Primary Source | check for understanding | stranger than fiction (ordering) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T6.L5 pp. 430-442,"Interactive Gallery: Photography and the Civil War | Interactive Gallery: The Hardships of Soldiers | Interactive Primary Source: Emancipation Proclamation, Abraham Lincoln",The Emancipation Proclamation: The Civil War in Four Minutes | Black Soldiers (United States Colored Troops): The Civil War in Four Minutes,https://www.youtube.com/watch?v=v9pjvo1_oto | https://www.youtube.com/watch?v=DOyO75HJygI,The Enslaved Pilot Who Stole a Confederate Ship,ordering,"pool 15, shows 10, attempts 2, pass 70%",sources tracked; paper lesson not yet drafted,"Textbook T6.L5 pp. 430-442 | Savvas Lesson 5 eText: Emancipation and Life in Wartime | Savvas Interactive Gallery: Photography and the Civil War | Savvas Interactive Gallery: The Hardships of Soldiers | Savvas Interactive Primary Source: Emancipation Proclamation, Abraham Lincoln | Video: https://www.youtube.com/watch?v=v9pjvo1_oto | Video: https://www.youtube.com/watch?v=DOyO75HJygI | STF video: https://www.youtube.com/watch?v=4XVfkD61Cbg | STF image: assets/module-07-robert-smalls-planter.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67520/preview",Photography gallery: print image analysis prompts. Hardships gallery: convert to a soldier-life evidence chart. Emancipation Proclamation source: use short excerpts and ask what changed and what limits remained. STF: use Robert Smalls as a sequence sidebar showing self-liberation and wartime action.,Printable quiz was not harvested live in this build; backfill later if exact textbook quiz matching is required.,4,4,0,Built; review only if content changes.,
8,standard,The War's End,Sectionalism and Civil War (1820-1865),"How did major Union victories, total war, and surrender bring the Civil War to an end and force Americans to face the war's cost?","HSS: 8.10.5, 8.10.6, 8.11.1 | CCSS ELA: RH.1, RH.2, RH.3, RH.7 | ELD: Part I A.3, Part I B.6.b, Part I B.7",T6.L6,T6.L6: The War's End (p. 443-453),built,22377,https://altus.instructure.com/courses/3769/modules#module_22377,course_planning/content/8-2/module-08.json,eText reading | video check | Interactive Map | 3-D Model | Interactive Primary Source | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T6.L6 pp. 443-453,"Interactive Map: The Battle of Vicksburg | 3-D Model: The Battle at Gettysburg | Interactive Map: Key Battles of the Civil War | Interactive Primary Source: Gettysburg Address, Abraham Lincoln",The Civil War in Four Minutes | The Surrender at Appomattox | Appomattox 160,https://www.youtube.com/watch?v=44wJ1gnBK0c | https://www.youtube.com/watch?v=lV3YPw_Mly8,The War That Showed America What Death Looked Like,choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked; paper lesson not yet drafted,"Textbook T6.L6 pp. 443-453 | Savvas Lesson 6 eText: The War's End | Savvas Interactive Map: The Battle of Vicksburg | Savvas 3-D Model: The Battle at Gettysburg | Savvas Interactive Map: Key Battles of the Civil War | Savvas Interactive Primary Source: Gettysburg Address, Abraham Lincoln | Video: https://www.youtube.com/watch?v=44wJ1gnBK0c | Video: https://www.youtube.com/watch?v=lV3YPw_Mly8 | STF video: https://www.youtube.com/watch?v=pVZ0IiRl9wg | STF image: assets/module-08-war-that-showed-america-death-looked-like.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67509/preview","Vicksburg map and Key Battles map: print simplified maps and ask students to identify location, control of rivers, and turning-point patterns. Gettysburg 3-D model: convert to a diagram or image analysis. Gettysburg Address primary source: use a short excerpt with two central-idea questions. STF: use the image and a short Civil War photography source paragraph as a media-literacy sidebar.",Printable quiz was not harvested live in this build; backfill later if exact textbook quiz matching is required. Standards are inferred and should be verified during paper packet conversion.,5,5,0,Built; review only if content changes.,
9,standard,Early & Radical Reconstruction,The Reconstruction Era (1865-1877),"How did Reconstruction try to rebuild the nation and redefine freedom, citizenship, and political power after the Civil War?","HSS: 8.11.1, 8.11.2, 8.11.3, 8.11.4 | CCSS ELA: RH.1, RH.2, RH.3, RH.6, RH.7 | ELD: Part I A.3, Part I B.6.b, Part I B.7",T7.L1; T7.L2,T7.L1: Early Reconstruction (p. 461-467); T7.L2: Radical Reconstruction (p. 468-475),built,22381,https://altus.instructure.com/courses/3769/modules#module_22381,course_planning/content/8-2/module-09.json,eText reading | video check | Interactive Graph | Interactive Gallery | Interactive Cartoon | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T7.L1 pp. 461-467 | T7.L2 pp. 468-475,Interactive Graph: The Downfall of the Southern Economy | Interactive Gallery: Lincoln and Reconstruction | Interactive Cartoon: The Massacre of New Orleans,Reconstruction Plans | Reconstruction Amendments,https://www.youtube.com/watch?v=TXZgRLCQyag | https://www.youtube.com/watch?v=nwIg4RDFyE4,The Formerly Enslaved Man Who Took Jefferson Davis's Senate Seat,choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked; paper lesson not yet drafted,Textbook T7.L1 pp. 461-467 | Textbook T7.L2 pp. 468-475 | Savvas Lesson 1 eText: Early Reconstruction | Savvas Lesson 2 eText: Radical Reconstruction | Savvas Interactive Graph: The Downfall of the Southern Economy | Savvas Interactive Gallery: Lincoln and Reconstruction | Savvas Interactive Cartoon: The Massacre of New Orleans | Video: https://www.youtube.com/watch?v=TXZgRLCQyag | Video: https://www.youtube.com/watch?v=nwIg4RDFyE4 | STF video: https://www.youtube.com/watch?v=7x_m1EkyB_E | STF image: assets/module-09-hiram-revels-senate-seat.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67510/preview,Downfall of Southern Economy graph: print a simplified chart and ask students to identify evidence of economic damage. Lincoln and Reconstruction gallery: convert to image captions or sequence cards. Massacre of New Orleans cartoon: use as political cartoon analysis with point-of-view and evidence questions. STF: use Hiram Revels as a one-page sidebar on Reconstruction's political possibilities.,"Printable quizzes were not harvested live in this build; backfill later if exact textbook quiz matching is required. The collector item for T7.L1 is titled The War's End in the link bank, but it is used here as the Early Reconstruction eText UUID per prior handoff notes.",5,5,0,Built; review only if content changes.,
10,standard,Reconstruction & Its Aftermath,The Reconstruction Era (1865-1877),"How did Reconstruction change southern society, and why did many of its gains collapse or get reversed after federal protection weakened?","HSS: 8.11.1, 8.11.2, 8.11.3, 8.11.4, 8.11.5 | CCSS ELA: RH.1, RH.2, RH.3, RH.6, RH.7 | ELD: Part I A.3, Part I B.6.b, Part I B.7",T7.L3; T7.L4,T7.L3: Reconstruction and Southern Society (p. 476-483); T7.L4: The Aftermath of Reconstruction (p. 484-489),built,22382,https://altus.instructure.com/courses/3769/modules#module_22382,course_planning/content/8-2/module-10.json,eText reading | video check | Interactive Gallery | Interactive Chart | Interactive Timeline | Interactive Map | check for understanding | stranger than fiction (choice) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T7.L3 pp. 476-483 | T7.L4 pp. 484-489,Interactive Gallery: Reconstruction-Era Political Groups | Interactive Chart: The Cycle of Poverty | Interactive Timeline: Oppression of African Americans | Interactive Map: Change in Southern Industry,Sharecropping | The End of Reconstruction,https://www.youtube.com/watch?v=inrbZJd3s9Y | https://www.youtube.com/watch?v=YcnVamDZPBs,The American City Overthrown by a White Supremacist Coup,choice,"pool 15, shows 10, attempts 2, pass 70%",sources tracked; paper lesson not yet drafted,Textbook T7.L3 pp. 476-483 | Textbook T7.L4 pp. 484-489 | Savvas Lesson 3 eText: Reconstruction and Southern Society | Savvas Lesson 4 eText: The Aftermath of Reconstruction | Savvas Interactive Gallery: Reconstruction-Era Political Groups | Savvas Interactive Chart: The Cycle of Poverty | Savvas Interactive Timeline: Oppression of African Americans | Savvas Interactive Map: Change in Southern Industry | Video: https://www.youtube.com/watch?v=inrbZJd3s9Y | Video: https://www.youtube.com/watch?v=YcnVamDZPBs | STF video: https://www.youtube.com/watch?v=214Qrdn72SU | STF image: assets/module-10-wilmington-coup.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67511/preview,"Political groups gallery: convert to a matching chart for freedmen, carpetbaggers, scalawags, and former Confederates. Cycle of Poverty chart: print as a flowchart and ask cause/effect questions. Oppression timeline: convert to a short chronology of rights gained and rights restricted. Change in Southern Industry map: print map/image and ask pattern questions. STF: use Wilmington 1898 as a serious sidebar on the collapse of rights without enforcement.",Printable quizzes were not harvested live in this build; backfill later if exact textbook quiz matching is required. Wilmington 1898 is outside the module's date range but is used deliberately as a later aftermath case study showing how Reconstruction's gains were attacked.,6,6,0,Built; review only if content changes.,
