module,type,title,topic,lessons,lesson_titles,build_status,canvas_module_id,canvas_url,content_json,activity_types,grading_profile,teacher_graded,textbook_pages,selected_interactives,video_plan,youtube_links,stf_title,stf_format,module_quiz,paper_packet_readiness,paper_packet_sources,paper_packet_activity_conversion,paper_packet_notes,savvas_links_total,savvas_links_linked,savvas_links_remaining,next_action,notes
1,standard,Industrialization & Immigration in the North,Society and Culture Before the Civil War (1820-1860),T5.L1; T5.L2,T5.L1: The Industrial Revolution (p. 319-331); T5.L2: Industrialization and Immigration (p. 332-340),built,22372,https://altus.instructure.com/courses/3769/modules#module_22372,course_planning/content/8-2/module-01.json,eText reading | video check | 3-D Model | Interactive Timeline | Interactive Gallery | check for understanding | stranger than fiction (categorization) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T5.L1 pp. 319-331 | T5.L2 pp. 332-340,3-D Model: Early Textile Mill | Interactive Timeline: New Inventions Improve Life | Interactive Gallery: The Steam Locomotive,Industrial Revolution in America | Industrialization and Immigration - Nutshelled Early American History,https://www.youtube.com/watch?v=USAtD9uGBy4 | https://www.youtube.com/watch?v=2RT4l4aFkig,The Clock That Trained America to Work,categorization,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T5.L1 pp. 319-331 | Textbook T5.L2 pp. 332-340 | Savvas Lesson 1 eText: The Industrial Revolution | Savvas Lesson 2 eText: Industrialization and Immigration | Savvas 3-D Model: Early Textile Mill | Savvas Interactive Timeline: New Inventions Improve Life | Savvas Interactive Gallery: The Steam Locomotive | Savvas printable quiz docs downloaded to .savvas/module-01/ | Video: https://www.youtube.com/watch?v=USAtD9uGBy4 | Video: https://www.youtube.com/watch?v=2RT4l4aFkig | STF image: assets/module-01-clock-that-trained-america.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67437/preview,"Early Textile Mill: use a diagram or image of a mill and ask students to label where workers, machines, power, and raw materials fit. Inventions timeline: convert to a sequence/matching worksheet. Steam Locomotive gallery: print a locomotive image and ask short questions about speed, trade, and city connections.",This is the first 8-2 module and should be used as the style/spacing test before building the rest of the course.,5,5,0,Built; review only if content changes.,
2,standard,King Cotton & Life in the South,Society and Culture Before the Civil War (1820-1860),T5.L3,T5.L3: King Cotton and Life in the South (p. 341-352),built,22373,https://altus.instructure.com/courses/3769/modules#module_22373,course_planning/content/8-2/module-02.json,eText reading | video check | 3-D Model | Interactive Chart | check for understanding | stranger than fiction (categorization) | module quiz,"video check self-graded (2 attempts) | CFU self-graded (2 attempts) | STF self-graded (2 attempts) | module quiz self-graded (2 attempts, 70% pass) | Savvas eText/interactives not graded; mark done",no - standard module is self-graded/auto-checked,T5.L3 pp. 341-352,3-D Model: The Cotton Gin | Interactive Chart: Different Ways of Life in the South | Interactive Chart: Lives of Free and Enslaved African Americans,The Cotton Gin - The Industrial Revolution - Slavery - History Simplified and Explained,https://www.youtube.com/watch?v=mgadXa14REo,The Machine That Made Slavery Grow,categorization,"pool 15, shows 10, attempts 2, pass 70%",sources tracked,Textbook T5.L3 pp. 341-352 | Savvas Lesson 3 eText: King Cotton and Life in the South | Savvas 3-D Model: The Cotton Gin | Savvas Interactive Chart: Different Ways of Life in the South | Savvas Interactive Chart: Lives of Free and Enslaved African Americans | Savvas printable quiz doc downloaded to .savvas/module-02/ | Video: https://www.youtube.com/watch?v=mgadXa14REo | STF image: assets/module-02-machine-that-made-slavery-grow.png | STF Canvas file: https://altus.instructure.com/courses/3769/files/67438/preview,Cotton gin model: use a labeled diagram and have students explain input/process/output and consequence. Southern life chart: convert into a comparison chart. Free and enslaved African Americans chart: use a careful rights/limits comparison worksheet.,Built quickly after Module 1 approval. Preview as a human quality check before batch-building Modules 3+.,4,4,0,Built; review only if content changes.,
3,standard,Abolitionism,Society and Culture Before the Civil War (1820-1860),T5.L4,T5.L4: Abolitionism (p. 353-361),in_progress,,,,eText reading,,,T5.L4 pp. 353-361,,,,,,,,textbook T5.L4 pp. 353-361,,,0,0,0,"Finish resource choices, video, STF, quiz pool, then build.",
4,standard,"Reform, Women's Rights & Culture",Society and Culture Before the Civil War (1820-1860),T5.L5; T5.L6,T5.L5: Reform and Women's Rights (p. 362-374); T5.L6: Arts and Literature (p. 375-381),not_started,,,,eText reading,,,T5.L5 pp. 362-374 | T5.L6 pp. 375-381,,,,,,,,textbook T5.L5 pp. 362-374 | T5.L6 pp. 375-381,,,0,0,0,Inspect Savvas resources and draft module JSON.,
5,standard,The Road to War: Compromises & Tensions (+ DBQ: Lincoln & Douglas),Sectionalism and Civil War (1820-1865),T6.L1; T6.L2,T6.L1: Conflicts and Compromises (p. 389-398); T6.L2: Growing Tensions (p. 399-410),not_started,,,,eText reading,,,T6.L1 pp. 389-398 | T6.L2 pp. 399-410,,,,,,,,textbook T6.L1 pp. 389-398 | T6.L2 pp. 399-410,,,0,0,0,Inspect Savvas resources and draft module JSON.,
6,standard,The Civil War Begins,Sectionalism and Civil War (1820-1865),T6.L3; T6.L4,T6.L3: Division and the Outbreak of War (p. 411-422); T6.L4: The Course of the War (p. 423-429),not_started,,,,eText reading,,,T6.L3 pp. 411-422 | T6.L4 pp. 423-429,,,,,,,,textbook T6.L3 pp. 411-422 | T6.L4 pp. 423-429,,,0,0,0,Inspect Savvas resources and draft module JSON.,
7,standard,Emancipation & Life in Wartime,Sectionalism and Civil War (1820-1865),T6.L5,T6.L5: Emancipation and Life in Wartime (p. 430-442),not_started,,,,eText reading,,,T6.L5 pp. 430-442,,,,,,,,textbook T6.L5 pp. 430-442,,,0,0,0,Inspect Savvas resources and draft module JSON.,
8,standard,The War's End,Sectionalism and Civil War (1820-1865),T6.L6,T6.L6: The War's End (p. 443-453),not_started,,,,eText reading,,,T6.L6 pp. 443-453,,,,,,,,textbook T6.L6 pp. 443-453,,,0,0,0,Inspect Savvas resources and draft module JSON.,
9,standard,Early & Radical Reconstruction,The Reconstruction Era (1865-1877),T7.L1; T7.L2,T7.L1: Early Reconstruction (p. 461-467); T7.L2: Radical Reconstruction (p. 468-475),not_started,,,,eText reading,,,T7.L1 pp. 461-467 | T7.L2 pp. 468-475,,,,,,,,textbook T7.L1 pp. 461-467 | T7.L2 pp. 468-475,,,0,0,0,Inspect Savvas resources and draft module JSON.,
10,standard,Reconstruction & Its Aftermath,The Reconstruction Era (1865-1877),T7.L3; T7.L4,T7.L3: Reconstruction and Southern Society (p. 476-483); T7.L4: The Aftermath of Reconstruction (p. 484-489),not_started,,,,eText reading,,,T7.L3 pp. 476-483 | T7.L4 pp. 484-489,,,,,,,,textbook T7.L3 pp. 476-483 | T7.L4 pp. 484-489,,,0,0,0,Inspect Savvas resources and draft module JSON.,
